nome,prezzo,categoria,immagine
Tavolo da Pranzo Moderno,199.99,Arredamento,https://placehold.co/200x200?text=Tavolo+da+Pranzo
Pianoforte Digitale,499.00,Musica,https://placehold.co/200x200?text=Pianoforte+Digitale
Giacca Invernale,89.90,Abbigliamento,https://placehold.co/200x200?text=Giacca+Invernale
Drone con Telecamera,299.50,Elettronica,https://placehold.co/200x200?text=Drone+con+Telecamera
Set di Candele Profumate,24.99,Decorazioni,https://placehold.co/200x200?text=Set+Candele+Profumate
Pattini a Rotelle,59.90,Sport,https://placehold.co/200x200?text=Pattini+a+Rotelle
Zaino per Laptop,49.99,Accessori,https://placehold.co/200x200?text=Zaino+per+Laptop
Tazza Termica,15.50,Cucina,https://placehold.co/200x200?text=Tazza+Termica
Specchio da Parete Rotondo,79.00,Arredamento,https://placehold.co/200x200?text=Specchio+Rotondo
Kit Giardinaggio,39.90,Hobby,https://placehold.co/200x200?text=Kit+Giardinaggio
